estacion,date,rain,x,y,modif
35025110-LA LIBERTAD_AUT,2012-05-14,0.0,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-15,3.4,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-16,1.5,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-17,9.8,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-18,15.4,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-19,0.0,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-20,30.5,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-21,15.2,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-22,2.0,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-23,60.0,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-24,29.8,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-25,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-26,22.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-27,16.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-28,60.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-29,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-30,0.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-31,88.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-06,14.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-06,40.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-06,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-06,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-06,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-06,1.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-06,6.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-06,29.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-06,4.8,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-06,47.9,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-06,2.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-12-06,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-13,0.9,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-14,9.5,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-06-15,63.9,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-16,10.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-17,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-18,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-19,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-20,1.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-21,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-22,1.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-23,2.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-24,63.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-25,1.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-26,42.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-27,4.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-28,0.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-29,12.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-30,8.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-07,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-07,32.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-07,20.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-07,4.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-07,1.7,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-07,23.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-07,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-07,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-07,2.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-07,20.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-07,7.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-12-07,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-13,54.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-14,30.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-15,40.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-16,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-17,4.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-18,13.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-19,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-20,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-21,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-22,13.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-23,14.4,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-07-24,2.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-25,16.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-26,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-27,27.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-28,0.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-29,2.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-30,7.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-31,56.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-08,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-08,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-08,29.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-08,14.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-08,1.8,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-08,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-08,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-08,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-08,0.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-08,1.3,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-11-08,6.6,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-12-08,54.6,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-08-13,18.5,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-08-14,2.7,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-08-15,0.0,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-08-16,6.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-17,19.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-18,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-19,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-20,8.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-21,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-22,7.9,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-23,0.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-24,6.9,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-25,13.1,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-26,14.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-27,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-28,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-29,32.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-30,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-31,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-09,0.8,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-09,3.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-09,0.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-09,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-09,3.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-09,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-09,1.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-09,6.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-09,24.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-09,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-09,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-12-09,8.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-13,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-14,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-15,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-16,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-17,3.9,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-18,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-19,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-20,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-21,39.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-22,1.7,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-23,46.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-24,20.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-25,0.7,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-26,8.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-27,0.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-28,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-29,3.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-30,0.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-10,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-10,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-10,42.9,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-10,0.0,-73.467917,4.057361,NO
