estacion,date,tmax,tmin,rhum,esol,x,y,modif
35025110-LA LIBERTAD_AUT,2012-05-17,31.8,22.6,83.14,421.19,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-18,29.0,22.6,90.69,279.88,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-19,29.2,22.8,89.63,331.98,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-20,29.2,20.3,86.1,351.1,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-21,29.4,21.4,88.06,373.45,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-22,31.4,21.0,81.58,409.15,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-23,31.2,22.6,82.93,420.13,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-24,30.0,21.2,85.08,465.48,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-25,31.2,21.4,84.63,549.86,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-26,30.2,23.0,86.51,371.81,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-27,30.2,22.0,84.79,486.08,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-28,25.0,21.6,87.66,166.48,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-29,32.2,21.2,79.69,386.63,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-30,32.0,21.6,79.56,310.58,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-31,29.4,21.0,87.62,349.44,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-06,29.2,21.0,87.33,224.26,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-06,26.8,22.2,93.86,199.58,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-06,30.6,20.0,82.48,502.67,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-06,31.2,22.0,82.74,490.29,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-06,31.8,22.2,80.94,476.62,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-06,31.6,23.0,81.29,429.41,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-06,30.0,22.0,86.46,391.44,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-06,28.35,22.05,91.81,331.82,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-06,28.6,20.4,88.12,405.37,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-06,27.8,21.69,91.9,388.24,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-06,28.6,21.2,87.56,329.32,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-12-06,29.8,21.4,88.01,388.51,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-13,28.6,22.2,89.09,284.97,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-14,28.8,22.0,87.59,267.79,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-06-15,30.6,21.4,84.69,511.95,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-16,25.3,21.6,95.46,383.12,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-17,30.3,19.0,86.1,552.46,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-18,30.0,19.8,82.3,264.58,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-19,32.1,21.6,81.42,450.83,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-20,31.4,22.6,85.42,549.88,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-21,31.6,20.4,82.03,204.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-22,32.4,20.6,83.35,449.96,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-23,30.36,20.0,79.69,359.08,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-24,31.4,19.6,79.95,484.8,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-25,30.2,19.6,82.2,290.56,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-26,31.2,20.6,76.63,249.7,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-27,29.4,20.6,89.01,358.99,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-28,30.0,22.0,86.46,309.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-29,30.4,21.4,85.78,470.16,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-30,29.5,20.8,87.91,291.93,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-07,29.0,19.8,82.86,377.46,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-07,30.2,21.41,87.68,320.65,-73.467917,4.057361,NO
