Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACIO	NOMBRE_ESTACION
31/03/2012	6.0	29.4	21.4	72.6	348.3	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
01/04/2012	3.0	30.6	20.8	80.2	456.0	abril	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
02/04/2012	23.0	31.4	22.0	78.5	400.0	abril	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
03/04/2012	30.0	29.0	22.6	91.8	267.6	abril	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
04/04/2012	16.0	30.0	20.4	84.7	447.6	abril	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
05/04/2012	1.3	27.0	20.6	90.2	267.2	abril	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
06/04/2012	62.0	30.8	21.8	81.5	471.5	abril	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
07/04/2012	0.0	30.4	21.4	78.4	338.9	abril	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
08/04/2012	18.0	30.2	22.2	82.5	352.1	abril	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
09/04/2012	60.0	29.6	22.0	82.0	352.0	abril	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
10/04/2012	0.3	29.8	21.8	88.0	382.1	abril	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
11/04/2012	60.0	29.2	22.0	90.4	331.4	abril	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
12/04/2012	2.5	29.2	21.7	91.7	310.4	abril	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
13/04/2012	23.4	31.8	19.8	67.9	432.0	abril	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
14/04/2012	0.0	30.3	24.7	77.0	531.9	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
15/04/2012	0.0	32.3	23.7	82.0	424.7	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
16/04/2012	0.0	33.2	23.7	82.5	465.0	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
17/04/2012	2.4	29.7	24.0	86.6	281.9	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
18/04/2012	3.4	27.3	23.2	90.1	238.7	abril	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
19/04/2012	0.8	31.1	22.9	87.6	358.4	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
20/04/2012	0.0	33.8	23.2	80.3	579.6	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
21/04/2012	2.8	29.5	23.1	88.5	275.0	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
22/04/2012	0.2	31.5	23.6	85.7	384.9	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
23/04/2012	0.2	34.0	23.3	81.2	558.5	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
24/04/2012	1.4	34.2	22.6	79.3	569.0	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
25/04/2012	0.2	35.5	23.4	74.7	577.7	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
26/04/2012	0.6	31.8	25.3	80.7	331.5	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
27/04/2012	0.4	33.9	24.1	81.1	475.0	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
28/04/2012	16.0	29.1	23.1	86.7	253.4	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
29/04/2012	0.0	33.0	24.1	86.8	363.0	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
30/04/2012	4.2	31.4	22.9	87.0	420.3	abril	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
01/05/2012	24.8	30.9	22.7	87.8	374.3	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
02/05/2012	0.2	33.3	23.2	80.7	541.6	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
03/05/2012	0.6	34.7	22.8	76.1	590.0	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
04/05/2012	0.0	34.8	24.7	76.4	491.6	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
05/05/2012	1.6	33.3	22.7	81.2	485.8	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
06/05/2012	30.8	31.8	22.2	83.9	582.2	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
07/05/2012	9.2	30.6	22.8	86.8	429.8	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
08/05/2012	0.0	35.0	23.1	78.7	565.8	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
09/05/2012	0.0	32.8	24.3	84.7	466.7	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
10/05/2012	0.0	35.1	24.4	81.5	494.2	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
11/05/2012	0.4	30.7	24.2	86.0	314.1	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
12/05/2012	0.4	32.9	23.9	85.3	391.5	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
13/05/2012	0.0	32.2	22.4	84.5	341.7	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
14/05/2012	7.4	27.3	22.9	89.7	224.9	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
15/05/2012	0.0	28.7	22.4	93.8	447.8	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
16/05/2012	5.6	30.8	21.5	89.3	426.5	mayo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
17/05/2012	2.0	30.4	23.1	89.2	364.1	mayo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
18/05/2012	3.6	29.8	21.4	74.1	359.4	mayo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
19/05/2012	0.0	29.4	21.0	89.6	341.2	mayo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
20/05/2012	10.0	30.2	22.7	78.3	342.7	mayo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
21/05/2012	15.0	28.8	22.1	87.3	265.8	mayo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
22/05/2012	3.1	30.8	22.9	89.8	392.8	mayo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
23/05/2012	18.0	31.5	21.5	86.4	483.2	mayo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
24/05/2012	5.0	28.7	26.6	81.2	297.6	mayo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
25/05/2012	2.0	36.1	24.3	80.3	397.9	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
26/05/2012	1.0	35.2	24.3	74.6	498.4	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
27/05/2012	0.0	36.3	24.2	71.4	562.6	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
28/05/2012	48.0	33.0	22.3	75.7	324.6	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
29/05/2012	1.2	35.9	26.9	55.3	474.6	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
30/05/2012	9.0	37.1	23.8	55.8	371.5	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
31/05/2012	7.0	36.2	22.8	65.8	429.2	mayo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
01/06/2012	13.0	35.0	23.2	67.5	400.7	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
02/06/2012	43.0	36.7	22.9	68.4	459.5	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
03/06/2012	0.0	34.7	24.1	74.9	442.8	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
04/06/2012	0.0	35.7	24.2	73.5	506.6	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
05/06/2012	0.0	36.3	24.5	68.4	524.7	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
06/06/2012	3.0	37.1	24.1	68.7	514.3	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
07/06/2012	4.2	35.9	24.7	61.3	532.1	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
08/06/2012	34.0	34.3	25.6	53.0	256.2	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
09/06/2012	13.0	36.7	24.9	60.0	488.6	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
10/06/2012	12.0	36.9	23.7	59.5	534.1	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
11/06/2012	3.0	36.0	25.3	53.8	328.8	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
12/06/2012	3.0	36.3	24.6	64.0	427.3	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
13/06/2012	0.6	35.9	23.8	72.8	414.6	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
14/06/2012	0.0	36.7	23.7	73.9	456.9	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
15/06/2012	19.2	36.6	23.6	69.6	527.1	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
16/06/2012	0.2	28.6	22.9	89.5	214.0	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
17/06/2012	0.6	35.6	22.8	76.5	545.5	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
18/06/2012	0.0	36.9	23.3	76.1	524.8	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
19/06/2012	0.0	36.0	24.4	71.0	512.6	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
20/06/2012	0.0	35.6	24.9	68.8	513.7	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
21/06/2012	0.4	34.7	23.5	75.7	358.2	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
22/06/2012	0.0	36.8	22.3	68.3	553.6	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
23/06/2012	0.0	34.8	23.1	68.4	377.7	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
24/06/2012	0.0	37.2	21.3	66.0	477.7	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
25/06/2012	0.6	31.5	23.8	79.1	278.9	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
26/06/2012	0.0	35.0	24.2	59.9	539.8	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
27/06/2012	0.2	35.7	22.7	66.8	529.8	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
28/06/2012	0.0	36.6	23.5	62.4	542.0	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
29/06/2012	0.0	35.1	24.0	69.5	378.4	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
30/06/2012	4.2	31.7	23.6	82.1	302.9	junio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
01/07/2012	1.8	35.0	22.2	73.4	552.8	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
02/07/2012	0.0	36.3	22.1	69.2	533.6	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
03/07/2012	0.0	35.7	22.6	66.4	367.3	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
04/07/2012	0.0	34.1	23.6	70.6	406.5	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
05/07/2012	0.0	35.1	23.2	67.2	474.2	julio	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
